user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime
183382,381456,True,0,3,0,0,0,14,0,0,1,0,0,3,0,0,5,0,0,1,11,0,0,1,0,0,0,0,0,0,104.0,567.0,0,0
208512,381456,True,0,1,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15.0,0,0
755018,381456,True,0,6,0,1,2,7,0,1,2,1,393.0,4,0,1,1,0,0,0,1,0,0,0,1465.0,0,1318.0,194697.0,0,1318.0,147.0,147.0,270.0,270.0
937781,381456,True,0,1,0,0,0,22,0,0,0,0,0,1,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,8.0,478.0,0,0
1037173,381456,True,0,3,0,0,0,25,1,0,0,0,0,3,0,0,6,1,0,0,22,1,0,0,0,0,0,0,0,0,73.0,641.0,0,0
895249,381456,True,0,5,1,1,0,5,1,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.0,219.0,0,0
33183,381456,True,0,4,0,0,0,52,0,0,2,0,0,4,0,0,10,0,0,2,48,0,0,2,0,0,0,0,0,0,160.0,1630.0,0,0
591234,381456,True,0,1,0,0,0,54,1,1,1,0,0,1,0,0,8,1,1,1,53,1,1,1,0,0,0,0,0,0,27.0,891.0,0,0
526408,381456,True,0,4,0,0,0,159,1,0,1,0,0,4,0,0,33,1,0,1,155,1,0,1,0,0,0,0,0,0,168.0,5121.0,0,0
794489,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
