user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime,user_GiveTag
219639,343886,True,0,12,1,1,1,20,1,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,408.0,398.0,11.0,408.0,398.0,11.0,57.0,57.0,0,0,False,0
428204,343886,True,0,5,0,1,1,22,0,1,1,0,0,5,0,1,9,0,0,0,16,0,0,0,236.0,0.0,110.0,707.0,0.0,110.0,127.0,707.0,0,0,False,0
411285,343886,True,0,41,1,3,1,50,1,3,1,0,0,38,1,3,3,0,0,0,6,0,0,0,1671.0,1396.0,1630.0,1671.0,1396.0,1630.0,1143.0,1273.0,0,0,False,0
1114655,343886,True,0,3,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,39.0,0.0,33.0,39.0,0.0,33.0,39.0,39.0,0,0,False,0
875668,343886,True,0,7,1,0,1,13,1,0,1,0,0,7,1,0,4,0,0,0,5,0,0,0,624.0,544.0,0.0,321490.0,544.0,0.0,103.0,317.0,0,0,False,0
904632,147875,True,0,17,0,1,3,18,0,1,3,2,35994.0,5,0,1,1,0,0,0,1,0,0,0,135.0,0.0,88.0,135.0,0.0,88.0,116.0,135.0,182.0,182.0,False,0
1087814,147875,True,0,5,0,2,1,20,0,2,2,0,0,3,0,2,4,0,0,0,12,0,0,0,572.0,0.0,573.0,583.0,0.0,573.0,269.0,583.0,0,0,False,0
598176,147875,True,0,20,1,1,1,30,1,1,1,0,0,19,1,1,5,0,0,0,10,0,0,0,3200.0,1605.0,1362.0,3363.0,1605.0,1362.0,721.0,1464.0,0,0,False,0
268785,147875,True,0,29,0,2,1,29,0,2,1,0,0,27,0,2,0,0,0,0,0,0,0,0,823.0,0.0,693.0,823.0,0.0,693.0,823.0,823.0,0,0,False,0
1076432,147875,True,0,17,0,1,1,21,0,1,1,0,0,17,0,1,2,0,0,0,4,0,0,0,4695.0,0.0,4604.0,544537.0,0.0,4604.0,610.0,654.0,0,0,False,0
624165,147875,True,0,11,1,0,1,13,1,0,1,0,0,8,1,0,1,0,0,0,2,0,0,0,276.0,270.0,0.0,276.0,270.0,0.0,168.0,276.0,0,0,False,0
765560,147875,True,0,14,0,1,1,18,0,1,1,0,0,14,0,1,3,0,0,0,4,0,0,0,5461.0,0.0,5294.0,97191.0,0.0,5294.0,445.0,496.0,0,0,False,0
681047,147875,True,0,10,2,0,1,29,3,0,1,0,0,9,2,0,5,1,0,0,19,1,0,0,995.0,980.0,0.0,1364995.0,55068.0,0.0,521.0,1708.0,0,0,False,1
537602,337365,True,0,5,1,0,1,5,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,110.0,41.0,0.0,110.0,41.0,0.0,110.0,110.0,0,0,False,0
978205,337365,True,0,3,0,1,1,4,0,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,165.0,0.0,107.0,712194.0,0.0,107.0,165.0,165.0,0,0,False,1
805048,337365,True,0,8,0,1,1,8,0,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6819.0,0.0,6772.0,6819.0,0.0,6772.0,382.0,382.0,0,0,False,0
924463,337365,True,0,7,0,1,1,7,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,363.0,0.0,219.0,363.0,0.0,219.0,363.0,363.0,0,0,False,0
133390,337365,True,0,9,1,0,1,16,1,2,1,0,0,9,1,0,2,0,2,0,7,0,2,0,1622.0,1367.0,0.0,1893.0,1367.0,1820.0,695.0,966.0,0,0,False,0
93020,337365,True,0,11,1,0,1,15,2,0,1,0,0,10,1,0,3,1,0,0,4,1,0,0,2624.0,2334.0,0.0,2769.0,2334.0,0.0,672.0,910.0,0,0,False,0
905233,337365,True,0,9,1,0,1,11,2,0,1,0,0,9,1,0,1,1,0,0,2,1,0,0,965.0,678.0,0.0,1991.0,1928.0,0.0,597.0,660.0,0,0,False,0
771573,337365,True,0,13,1,0,1,15,1,0,1,0,0,13,1,0,2,0,0,0,2,0,0,0,736.0,195.0,0.0,736.0,195.0,0.0,446.0,736.0,0,0,False,0
412614,337365,True,0,6,0,1,1,12,0,1,1,0,0,4,0,1,2,0,0,0,6,0,0,0,304.0,0.0,219.0,442.0,0.0,219.0,304.0,442.0,0,0,False,0
843928,337365,True,0,6,1,0,1,8,1,0,1,0,0,6,1,0,2,0,0,0,2,0,0,0,548.0,543.0,0.0,572.0,543.0,0.0,39.0,63.0,0,0,False,0
301329,9678,True,0,3,0,1,1,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2612.0,0.0,2608.0,2612.0,0.0,2608.0,4.0,4.0,0,0,False,0
1107116,459762,True,0,18,0,1,1,18,0,1,1,0,0,15,0,1,0,0,0,0,0,0,0,0,563.0,0.0,15.0,563.0,0.0,15.0,257.0,257.0,0,0,False,0
494169,459762,True,0,35,0,1,1,35,0,1,1,0,0,18,0,1,0,0,0,0,0,0,0,0,841.0,0.0,9.0,841.0,0.0,9.0,239.0,239.0,0,0,False,0
176550,459762,True,0,21,0,1,1,25,0,1,1,0,0,14,0,1,1,0,0,0,1,0,0,0,2052.0,0.0,1261.0,2052.0,0.0,1261.0,747.0,747.0,0,0,False,0
926984,459762,True,0,59,0,1,1,78,0,1,1,0,0,10,0,1,8,0,0,0,19,0,0,0,794.0,0.0,121.0,1022.0,0.0,121.0,393.0,669.0,0,0,False,0
